backend,shards,workers,process,throughput_acks_s,claim_p99_ms,loop_p99_ms,loop_samples,min_backlog,max_backlog,saturated,enqueued,acked,lease_expired
postgres,1,1,zero,68,200.00,500.00,27,61,836,true,28332,976,0
postgres,1,1,20ms,27,200.00,2000.00,11,67,855,true,28362,408,0
postgres,1,10,zero,694,200.00,500.00,259,16,657,true,27886,10106,0
postgres,1,10,20ms,285,200.00,2000.00,105,50,769,true,28023,3875,0
postgres,1,100,zero,1723,200.00,500.00,889,0,389,false,26418,22920,0
postgres,1,100,20ms,1545,200.00,2000.00,731,0,461,false,26783,19530,0
postgres,1,1000,zero,1447,500.00,1000.00,847,0,1,false,23429,19015,0
postgres,1,1000,20ms,1436,500.00,2000.00,816,0,1,false,23606,18035,0
valkey,1,1,zero,1810,10.00,50.00,650,2809,14883,true,824273,27668,0
valkey,1,1,20ms,50,10.00,2000.00,22,3105,16122,true,859413,710,0
valkey,1,10,zero,13332,10.00,50.00,4780,1142,7220,true,609255,204538,0
valkey,1,10,20ms,483,10.00,2000.00,175,2921,15582,true,839739,6873,0
valkey,1,100,zero,25771,20.00,100.00,8146,0,4,false,408641,381801,0
valkey,1,100,20ms,4788,10.00,2000.00,1619,2441,13001,true,773062,68627,0
valkey,1,1000,zero,24084,100.00,500.00,7648,0,815,false,381898,356017,0
valkey,1,1000,20ms,24368,100.00,2000.00,7550,0,3,false,400872,347540,0
valkey,2,1,zero,3870,5.00,20.00,1381,5557,29538,true,1645148,59966,0
valkey,2,1,20ms,50,10.00,2000.00,22,5814,30536,true,1635919,699,0
valkey,2,10,zero,26560,10.00,50.00,9391,2316,13874,true,1185229,407492,0
valkey,2,10,20ms,493,10.00,2000.00,185,6084,30989,true,1668593,7087,0
valkey,2,100,zero,49301,20.00,100.00,15636,0,1,false,781509,730976,0
valkey,2,100,20ms,4926,10.00,2000.00,1658,5357,28115,true,1586612,70409,0
valkey,2,1000,zero,49019,50.00,500.00,15523,0,1436,false,779004,728322,0
valkey,2,1000,20ms,47781,50.00,2000.00,14375,128,1715,true,807627,672653,0
valkey,4,1,zero,6884,5.00,20.00,2542,10018,53933,true,3016336,108042,0
valkey,4,1,20ms,51,5.00,2000.00,22,10963,57561,true,3086025,723,0
valkey,4,10,zero,49803,5.00,20.00,17710,4064,24299,true,2127501,766575,0
valkey,4,10,20ms,490,10.00,2000.00,181,11130,57780,true,3106419,7152,0
valkey,4,100,zero,92064,20.00,50.00,29728,0,711,false,1482183,1376465,0
valkey,4,100,20ms,4952,10.00,2000.00,1680,10430,54545,true,3015297,71587,0
valkey,4,1000,zero,89391,20.00,200.00,28914,0,2,false,1441192,1341034,0
valkey,4,1000,20ms,49228,20.00,2000.00,16189,4545,23614,true,2072857,700692,0
