backend,shards,workers,process,throughput_acks_s,claim_p99_ms,loop_p99_ms,loop_samples,min_backlog,max_backlog,saturated,enqueued,acked,lease_expired
postgres,1,1,zero,1930,5.00,10.00,0,0,600,false,0,49339,0
postgres,1,10,zero,2167,10.00,20.00,0,0,327,false,0,35285,0
postgres,1,30,zero,2130,20.00,50.00,0,0,521,false,0,35917,0
postgres,1,100,zero,2176,50.00,200.00,0,0,414,false,0,35970,1
postgres,1,300,zero,2198,200.00,500.00,0,0,287,false,0,36022,0
postgres,1,1000,zero,2160,200.00,2000.00,0,0,156,false,0,34963,0
postgres,1,1,2ms,430,5.00,200.00,0,181,1230,true,0,8723,0
postgres,1,10,2ms,2907,5.00,200.00,0,0,720,false,0,67649,0
postgres,1,30,2ms,1942,10.00,200.00,0,0,286,false,0,33741,1
postgres,1,100,2ms,2346,50.00,200.00,0,0,424,false,0,38105,5
postgres,1,300,2ms,2219,200.00,500.00,0,0,287,false,0,36505,4
postgres,1,1000,2ms,2124,200.00,2000.00,0,0,0,false,0,34778,4
postgres,1,1,20ms,47,5.00,2000.00,0,244,1326,true,0,932,4
postgres,1,10,20ms,478,20.00,2000.00,0,1317,1917,true,0,9350,4
postgres,1,30,20ms,1431,50.00,2000.00,0,1575,2101,true,0,28087,1
postgres,1,100,20ms,4876,100.00,2000.00,0,601,1461,true,0,94051,10
postgres,1,300,20ms,1772,100.00,2000.00,0,0,1,false,0,53734,30
postgres,1,1000,20ms,2556,500.00,2000.00,0,0,0,false,0,40876,100
postgres,1,1,200ms,3,5.00,10000.00,0,267,1355,true,0,74,33
postgres,1,10,200ms,59,20.00,20000.00,0,1543,2236,true,0,779,21
postgres,1,30,200ms,145,50.00,20000.00,0,2547,3241,true,0,2229,1
postgres,1,100,200ms,532,100.00,20000.00,0,3467,4099,true,0,7537,2
postgres,1,300,200ms,1588,200.00,20000.00,0,4076,4705,true,0,22450,20
postgres,1,1000,200ms,5203,500.00,20000.00,0,3343,4125,true,0,68365,45
postgres,2,1,zero,3283,5.00,10.00,0,0,576,false,0,87626,0
postgres,2,10,zero,3492,5.00,10.00,0,0,4,false,0,61642,0
postgres,2,30,zero,3582,20.00,50.00,0,0,2,false,0,62211,1
postgres,2,100,zero,3588,50.00,100.00,0,0,2,false,0,62590,1
postgres,2,300,zero,3659,100.00,500.00,0,0,1,false,0,62130,0
postgres,2,1000,zero,3652,200.00,1000.00,0,0,1,false,0,61163,2
postgres,2,1,2ms,423,5.00,200.00,0,388,1692,true,0,8639,0
postgres,2,10,2ms,4226,5.00,200.00,0,916,1514,true,0,83393,1
postgres,2,30,2ms,2727,5.00,200.00,0,0,3,false,0,101393,1
postgres,2,100,2ms,3629,20.00,200.00,0,0,2,false,0,62468,10
postgres,2,300,2ms,3705,100.00,500.00,0,0,1,false,0,62258,5
postgres,2,1000,2ms,3602,200.00,1000.00,0,0,1,false,0,61145,8
postgres,2,1,20ms,50,5.00,2000.00,0,454,1954,true,0,967,4
postgres,2,10,20ms,480,50.00,2000.00,0,2272,2966,true,0,9372,4
postgres,2,30,20ms,1444,50.00,2000.00,0,3202,3723,true,0,28296,1
postgres,2,100,20ms,4894,50.00,2000.00,0,2864,3595,true,0,94404,10
postgres,2,300,20ms,7544,50.00,2000.00,0,0,880,false,0,198402,30
postgres,2,1000,20ms,3619,100.00,2000.00,0,0,1,false,0,61460,100
postgres,2,1,200ms,6,5.00,1000.00,0,797,2063,true,0,68,54
postgres,2,10,200ms,53,50.00,20000.00,0,2799,3718,true,0,673,50
postgres,2,30,200ms,182,50.00,20000.00,0,4873,5708,true,0,2369,1
postgres,2,100,200ms,479,50.00,20000.00,0,6719,7561,true,0,7456,9
postgres,2,300,200ms,1512,100.00,20000.00,0,8144,8718,true,0,23357,22
postgres,2,1000,200ms,5418,500.00,20000.00,0,8203,8902,true,0,71784,81
postgres,4,1,zero,6510,5.00,10.00,0,1,452,true,0,160037,0
postgres,4,10,zero,5684,5.00,20.00,0,0,3,false,0,105815,0
postgres,4,30,zero,5773,20.00,50.00,0,0,3,false,0,107274,0
postgres,4,100,zero,5985,20.00,100.00,0,0,2,false,0,105511,0
postgres,4,300,zero,6066,50.00,200.00,0,0,4,false,0,105197,0
postgres,4,1000,zero,5496,500.00,1000.00,0,0,1,false,0,98691,0
postgres,4,1,2ms,420,5.00,200.00,0,742,3059,true,0,8614,1
postgres,4,10,2ms,4194,5.00,200.00,0,2679,2964,true,0,82207,1
postgres,4,30,2ms,12246,5.00,200.00,0,308,1899,true,0,243761,0
postgres,4,100,2ms,5247,20.00,200.00,0,0,3,false,0,112581,10
postgres,4,300,2ms,6258,50.00,200.00,0,0,2,false,0,108299,29
postgres,4,1000,2ms,5978,500.00,1000.00,0,0,1,false,0,105478,8
postgres,4,1,20ms,47,5.00,2000.00,0,1006,3395,true,0,963,11
postgres,4,10,20ms,472,10.00,2000.00,0,4088,5278,true,0,9327,18
postgres,4,30,20ms,1441,50.00,2000.00,0,5804,6700,true,0,28248,1
postgres,4,100,20ms,4872,50.00,2000.00,0,6644,6951,true,0,94581,10
postgres,4,300,20ms,14531,100.00,2000.00,0,3303,5308,true,0,282587,30
postgres,4,1000,20ms,4812,100.00,2000.00,0,0,1,false,0,260554,100
postgres,4,1,200ms,5,5.00,0.05,0,1082,3662,true,0,57,300
postgres,4,10,200ms,62,50.00,20000.00,0,4895,6412,true,0,740,71
postgres,4,30,200ms,175,50.00,20000.00,0,8337,9794,true,0,2102,1
postgres,4,100,200ms,510,100.00,20000.00,0,11824,13192,true,0,7011,16
postgres,4,300,200ms,1279,100.00,20000.00,0,14291,15196,true,0,23018,7
postgres,4,1000,200ms,5321,200.00,20000.00,0,15958,16451,true,0,71935,95
valkey,1,1,zero,989,20.00,100.00,0,11036,17341,true,0,19981,0
valkey,1,10,zero,8060,50.00,100.00,0,20100,24028,true,0,160394,0
valkey,1,30,zero,18005,50.00,200.00,0,25017,26162,true,0,351691,1
valkey,1,100,zero,27697,100.00,500.00,0,23359,24998,true,0,553659,9
valkey,1,300,zero,32287,500.00,1000.00,0,18291,21255,true,0,632736,28
valkey,1,1000,zero,33127,1000.00,2000.00,0,12986,15784,true,0,644971,88
valkey,1,1,2ms,329,20.00,500.00,0,16943,23466,true,0,6525,268
valkey,1,10,2ms,3142,50.00,500.00,0,26929,32971,true,0,61342,839
valkey,1,30,2ms,9008,50.00,500.00,0,35236,38995,true,0,178040,1
valkey,1,100,2ms,23722,100.00,500.00,0,37965,38701,true,0,462549,10
valkey,1,300,2ms,31285,500.00,1000.00,0,33523,36215,true,0,625711,30
valkey,1,1000,2ms,32848,1000.00,5000.00,0,28454,31168,true,0,633811,92
valkey,1,1,20ms,48,10.00,2000.00,0,32221,38888,true,0,937,299
valkey,1,10,20ms,464,20.00,2000.00,0,43650,51135,true,0,8956,976
valkey,1,30,20ms,1378,50.00,2000.00,0,55162,61311,true,0,26953,1
valkey,1,100,20ms,4621,50.00,2000.00,0,64876,70293,true,0,89319,10
valkey,1,300,20ms,13612,50.00,2000.00,0,72107,73992,true,0,260987,30
valkey,1,1000,20ms,29750,1000.00,5000.00,0,71052,73189,true,0,581545,99
valkey,1,1,200ms,5,0.05,0.05,0,75363,82554,true,0,64,297
valkey,1,10,200ms,66,20.00,20000.00,0,85972,88457,true,0,788,991
valkey,1,30,200ms,200,10.00,20000.00,0,88441,88486,true,0,2402,10
valkey,1,100,200ms,611,10.00,20000.00,0,88361,88520,true,0,7330,30
valkey,1,300,200ms,1700,20.00,20000.00,0,88043,88431,true,0,21486,100
valkey,1,1000,200ms,5749,100.00,20000.00,0,86992,87442,true,0,69311,300
valkey,2,1,zero,1643,20.00,100.00,0,20531,31818,true,0,33069,0
valkey,2,10,zero,14239,50.00,100.00,0,36295,43239,true,0,284679,0
valkey,2,30,zero,32717,50.00,200.00,0,44157,45876,true,0,653993,1
valkey,2,100,zero,55957,100.00,200.00,0,39028,43089,true,0,1118652,10
valkey,2,300,zero,63602,200.00,1000.00,0,28705,34784,true,0,1278208,23
valkey,2,1000,zero,69561,500.00,2000.00,0,16800,23434,true,0,1372689,89
valkey,2,1,2ms,365,20.00,500.00,0,24532,36061,true,0,7319,271
valkey,2,10,2ms,3470,20.00,500.00,0,43015,53581,true,0,69199,896
valkey,2,30,2ms,10060,50.00,500.00,0,58550,66567,true,0,198706,1
valkey,2,100,2ms,30620,100.00,500.00,0,68202,70686,true,0,597981,9
valkey,2,300,2ms,55875,500.00,1000.00,0,63046,67576,true,0,1112451,29
valkey,2,1000,2ms,69720,1000.00,2000.00,0,51244,58122,true,0,1372687,95
valkey,2,1,20ms,47,10.00,2000.00,0,58148,69052,true,0,940,298
valkey,2,10,20ms,465,20.00,2000.00,0,77443,89610,true,0,9095,976
valkey,2,30,20ms,1405,20.00,2000.00,0,97862,108374,true,0,27360,1
valkey,2,100,20ms,4755,50.00,2000.00,0,116088,125318,true,0,91638,10
valkey,2,300,20ms,14109,50.00,2000.00,0,131174,137685,true,0,272127,30
valkey,2,1000,20ms,43221,500.00,5000.00,0,136938,138298,true,0,815381,99
